Título Artículo,Nombre Revista Científica,Resumen,Año
Reconstruction of the chest wall with fixation in patients with tumor lesions. Case series [Reconstrucción de pared torácica con material de fijación en pacientes con lesiones tumorales. Serie de casos],Revista Colombiana de Cirugia,"Introduction. Surgical management of chest wall lesions with resection and reconstruction with prosthetic material has been increasing, due to advances in surgical techniques and surgeon’s experience, as well as innovation and characteristics of prosthetic materials. They allow wide resections of the wall, guaranteeing greater skeletal stability, less alteration of respiratory mechanics, and better aesthetic results. Methods. The experience in the CardioVID clinic, Medellín, Colombia, between the years 2015 and 2019, is presented through a retrospective review of eight cases that underwent resection of benign lesions of the chest wall and reconstruction with prosthetic material. Results. An adequate evolution of the patients was found, with a good aesthetic and functional result, with adequate control of the disease, without reports of complications or recurrence in follow-up. Discussion. An adequate technique allows the reconstruction of these defects with minimal complications and low prosthesis extraction rates, ending with excellent functional and cosmetic results. With our experience, we can conclude that the proper choice of patients who are good candidates for surgical management, a good surgical technique, and an experienced staff are crucial to achieve good results in terms of lung function and aesthetics results, in addition to obtain survival under the established parameters after achieving an R0 resection. © 2021, Asociacion Colombiana de Cirugia. All rights reserved.",2021
"Social innovation in rural communities: experience in the use of solid waste (Cauca, Colombia) [Innovación social en comunidadesrurales: Experiencia en aprovechamiento de residuos sólidos (Cauca, Colombia)]",Ager,"This paper presents the results of the project “Model of social innovation in the use of solid waste in the la Yunga and Río Hondo districts (Popayán, Cauca, Colombia)”. Through the means of community identified problems, its main goal was to promote community associative capabilities and socioenvironmental appropriation of territories in order to generate alternative methods of sustainable and sustained development. Methods such as People-centered design, Participatory Action Research and Environmental Education were applied. Results showed that social actors managed to devise, drive and deliver innovative and feasible solutions which made it possible to contribute to the objective of sustainable development and overall pollution reduction in the area. The design applied herein allowed for a collective vision to be built in order to direct community potentials and propose new forms of governance, in relevant elements of economic, social and environmental development of the rural sector. The study concludes that community efforts and their organizational capacity permitted the implementation of a social innovation model focused around the use of solid waste. This model can be replicated in rural areas at the national level, thus contributing towards the mitigation of adverse effects related to anthropic activities. Finally, community actions can influence public policies and participate in the overall transformation of local environment and territories. © 2021, CEDDAR. All rights reserved.",2021
Analysis of the effects of innovation investments on the technical progress of the plastics industry in bogotÁ [Une analyse des effets de l'investissement dans l'innovation sur le progrès technique du secteur industriel des plastiques à bogotá] [Análise dos efeitos do investimento em inovação sobre o progresso técnico do setor industrial de plásticos em bogotá] [Análisis de los efectos de la inversión en innovación sobre el progreso técnico del sector industrial de plásticos en bogotá],Innovar,"This research examines the effects of innovation investments and the hiring of qualified personnel for industrial processes management on the technical progress made by companies in the plastics industry in Bogotá, Colombia; a sector that commonly reports low levels of strategic convergence with its territory and a high propensity to process imitation. Endogenous growth and integrationist organizational culture were the theoretical approaches followed by this study. The methodology was de-veloped in two stages: first, the relationship between innovation, human capital and production level was addressed from a longitudinal statistical analysis of the Survey of Technological Development and Innovation in the Manufacturing Industry; afterward, involvement and adaptability factors of the Denison Model were measured through the direct application of a survey to companies in the plastics sector. We found that the impact of staff skills on production is significant and that such impact increases when observing staff with higher education attainment. Besides, involvement and adaptability factors were located in intermediate areas in which the efficient use of production resources is moderate. © 2021, Universidad Nacional de Colombia. All rights reserved.",2021
Stimulating Components for Business Development in Latin American SMEs,Advances in Intelligent Systems and Computing,"This study aims to analyze the stimulating components for business development in Latin American SMEs (case: Colombia).For this purpose, the unit of analysis was the companies listed in the Legiscomex database (trade intelligence) as of December 31, 2019, which integrates the national databases of companies registered and validated by the National Tax and Customs Administration the Confederation of Chambers of Commerce of Colombia. For this exercise of the impact of the four components of business development, 100,000 iterations were defined (Monte Carlo method), which represents a large amount of random data on the information parameters collected and accumulated to estimate a probability distribution of the success that the companies would have in real life, having as input the specific information of financial management,knowledge management, innovation processes and marketing. The results reflect that business development is influenced by four components in the following proportion: Financial Management (30%), Knowledge Management (25%), Innovation Processes (25%) and Marketing (20%). © 2021, The Author(s), under exclusive license to Springer Nature Switzerland AG.",2021
Trends and challenges in the management of sport organizations: Perspectives in Colombia [Tendencias y retos en la gestión de organizaciones deportivas: Perspectivas en Colombia],Sport TK,"This study aimed to recognize trends and challenges in the management of public and private sport organizations in Colombia. We realized a theoretical analysis from the literature around the subject and a content analysis with information provided in a panel of recognized experts in the area. The results indicate innovation, the incorporation of information and communication technologies, the organizational change management, the need to strengthen the training profiles of managers, inter-institutional relations and networking, as some of the most challenging important for managers. It is a starting point for the design of plans in organizations and plans of training for managers. © 2021 Sport TK.",2021
Applying the strategic prospective approach to project management in a development project in Colombia,International Journal of Project Management,"International development projects face uncertainty challenges more often than other projects. The strategic prospective approach is based on understanding the future and accepting uncertainties. This theory is presented as an appropriate methodology for this type of projects. This study presents the case study of a development project designed and executed according to this discipline. The project involved implementing an innovative model of higher technical education and employability for low-income young people in the Department of Cauca (Colombia). The results show that despite the region's circumstances and the overall context, future problems were identified in advance, and this had a positive impact on the project. From international development, project management can learn flexibility to deal with the uncertainty and participative processes required for managing stakeholders, and the strategic prospective approach can be a good alliance in this challenge. © 2020",2020
Chivor’s life extension project (Clep): From sediment management to development of a new intake system,Water (Switzerland),"Sedimentation is an important issue that has been studied for the watershed of reservoirs, since it increases operational costs of hydropower installations, reduces the life expectancy, and compromises the generation capacity due to volume reduction. This work addresses the implementation of Chivor’s Life Extension Project (CLEP), developed in order to extend the life of La Esmeralda reservoir, which is used for power generation in Colombia. Sediment dynamics studies are first described and connected to the need of the AES Corporation to extend the life expectancy of the Chivor Hydropower Project. The geotechnical and hydraulic designs are described and the main considerations and tools for the execution of such a project are addressed. The construction of the new intake system was developed under favorable geomorphological, geological, and hydrogeological conditions, and the project is being developed without affecting the current operation. Such an innovative project is the first of its class in Colombia and goes from studies of sediment transport and sediment management strategies in the watershed to the design and construction of new intakes, in order to extend the life of an existing 1000-MW (6% of Colombia’s demand) powerplant for 50 more years, contributing to a sustainable energy supply for the future. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.",2020
Installed capacity of photovoltaic solar energy in Colombia: An analysis of economic incentives [Analyse des incitations économiques dans la capacité installée de l'énergie solaire photovoltaïque en Colombie] [Análisis de los incentivos económicos en la capacidad instalada de energía solar fotovoltaica en Colombia],Lecturas de Economia,"Due to the abrupt drop in the worldwide energy generation levelized cost of non-conventional renewable technologies (in the case of the markets in the United States between 39 to 152 USD/MWh for photovoltaic solar energy and between 26 to 50 USD/MWh for wind energy), the use of mechanisms such as Feed in Tariff have been replaced by auctions, as a viable market mechanism to encourage investment on these generation sources. Based on Bass's technology diffusion model, this paper analyzes the impact of current incentives, considered in Law 1715 of 2014, on investment in photovoltaic solar energy in Colombia. The main results of the large-scale project scenario show an installed capacity 1542 MW of solar PV by 2030, which makes it the most profitable and the one with the highest growth potential. The contribution in this paper is to survey the Colombian electricity market potential on the inclusion of solar PV. © 2020 Universidad de Antioquia. All rights reserved.",2020
Evaluation of triangles triple restriction on conventional construction and modular construction-Example: New building of the University of the Coast,IOP Conference Series: Materials Science and Engineering,"This document evaluates and compares the modular construction system against the conventional construction system, analyzing it from the triangle of the triple restriction of the PMBOK guide (5th edition), which corresponds to the analysis of the scope, time and cost that can be achieve in the execution, which is focused directly on a real building of higher education, as a case study was used the university corporation of the CUC coast located in the city of Barranquilla. The main purpose of the research is to demonstrate the strengths, advantages and disadvantages of each construction system and once the real results were obtained to be able to make the application in professional practice for the management of the works and the execution of higher education projects, in this way the new construction processes are potentialized as a contribution to the development of architecture and innovation in Colombia, which is a country that is seeking to enter new methodologies and construction systems which must be aligned with the management issues that are being applied in the construction guild. © Published under licence by IOP Publishing Ltd.",2020
Organizational learning conditions and innovation management practices: An analysis of medium-sized firms [Condiciones para el aprendizaje organizacional y prácticas de gestión de innovación: Un análisis en medianas empresas],Informacion Tecnologica,"This article aims to describe the organizational learning conditions and practices that promote innovation in medium-sized companies. The research is based on logical positivism using a descriptive and quantitative approach. The sample is composed of medium-sized companies from the municipality of Valledupar, Colombia. A survey and a questionnaire with a Likert-type scale are employed for data collection. The questionnaire's content validity is estimated by expert judgment. The reliability is determined using the Cronbach's alpha coefficient. The results indicate that the companies analyzed promote learning processes through organizational culture, training, and the articulation of competitive strategy. In conclusion, companies implement the generation and selection of ideas as an innovation management practice. However, they present difficulties in managing resources for the development of innovative projects. © 2020 Centro de Informacion Tecnologica. All rights reserved.",2020
Ambition Meets Reality: Achieving GHG Emission Reduction Targets in the Livestock Sector of Latin America,Frontiers in Sustainable Food Systems,"Livestock production is a very relevant source of income and agricultural greenhouse gas (GHG) emissions in Colombia, Brazil, Argentina, Costa Rica, Uruguay, Mexico, and Peru. Several management and technological options with enteric methane mitigation potential have been evaluated and their scaling is anticipated to contribute toward achieving GHG emission reduction targets in the framework of the Paris Agreement. Yet, widespread adoption of promising mitigation options remains limited, raising questions as to whether envisaged emission reduction targets are achievable. Using findings from local studies, we explore the mitigation potentials of technologies and management practices currently proposed to mitigate enteric methane emissions from cattle production systems in the higher emitting countries of Latin America. We then discuss barriers for adopting innovations that significantly reduce cattle-based enteric methane emissions and the major shifts in policy and practice that are needed to raise national ambitions in the high emitting countries. Using the latest science and current thinking, we provide our perspective on an inclusive approach and re-imagine how the academic, research, business and public policy sectors can support and incentivize the changes needed to raise the level of ambition and achieve sustainable development goals (SDG), considering actions from the farm to the national scale. © Copyright © 2020 Arango, Ruden, Martinez-Baron, Loboguerrero, Berndt, Chacón, Torres, Oyhantcabal, Gomez, Ricci, Ku-Vera, Burkart, Moorby and Chirinda.",2020
Submerged vane technology in Colombia: Five representative projects,Water (Switzerland),"An innovative research-based technology has been applied for the first time in Colombia to improve the navigability of the Magdalena river in a zone of the city of Barrancabermeja, Department of Santander. The result of installation of the submerged vane technology demonstrated its effectiveness in sediment management and motivated its further use as a solution to problems of erosion, scour and meander evolution, which are common occurrence in the rivers of the country. Since this 1991 installation, more than 18 projects have been completed and the technical effectiveness of the system has been improved. Compared to traditional solutions, the results demonstrate beneficial economic impacts due to shorter execution times, reduction in annual maintenance costs, and diminished environmental impacts. Characteristics of design and construction and results obtained from five projects are described that are representative of the diversity of conditions and difficulties for the application of this technology in Colombia. Lessons learned for adaptation by river management authorities are derived from the study. © 2020 by the authors.",2020
